454 1196
3894645111 -82.525168 40.0723572
198517884 -82.5212709 40.0775147
11983516769 -82.5174283 40.0679453
11983510769 -82.5193821 40.0680649
10313376794 -82.5230231 40.0737363
198569938 -82.5219034 40.0681008
11331370036 -82.5180727 40.0865173
9365640206 -82.5183614 40.0717159
3894630214 -82.5233515 40.0709278
5546400175 -82.5232886 40.070924
7234296670 -82.5252414 40.0673315
8137815346 -82.5176366 40.0726179
3894654168 -82.5247368 40.0683688
11331352914 -82.5103564 40.0798428
9365635994 -82.5214406 40.07746
11329728149 -82.521527 40.0781164
8137815348 -82.517203 40.0725146
4256589581 -82.5236912 40.0705683
6016071883 -82.5181112 40.0680378
12075173704 -82.5132862 40.0688278
198655374 -82.5231298 40.0742561
6829774033 -82.5133632 40.0716205
10313376799 -82.5222391 40.0733287
6956911686 -82.521722 40.0732031
8137815381 -82.5213074 40.0716129
5546400176 -82.5233159 40.0705826
7037812803 -82.5207228 40.0681256
4256592592 -82.5244454 40.0712963
11329265996 -82.5185015 40.0684698
7128709825 -82.51878 40.0681072
8137815388 -82.5202992 40.0713812
3894644517 -82.5278114 40.071911
7234367544 -82.522032 40.0689433
7234367412 -82.5252166 40.0681555
198409954 -82.5198886 40.0712224
11329562487 -82.5202949 40.0787232
11329468223 -82.5191927 40.0687667
7128709827 -82.5174337 40.0680189
7234367543 -82.5224135 40.0689653
198559686 -82.5221399 40.0657301
5546400179 -82.5207851 40.0708527
6966852345 -82.5191948 40.068128
3894638310 -82.5201629 40.0691887
6956911706 -82.5199743 40.0731728
3894641827 -82.5259244 40.0708919
8137726002 -82.5214106 40.0745878
198588882 -82.5166043 40.0735634
8137815395 -82.5193866 40.0681231
8133088559 -82.5227379 40.068058
11331379378 -82.5210043 40.0818944
198521222 -82.5255685 40.0703793
7126311501 -82.519261 40.0681335
8137815385 -82.5205607 40.0712308
198509470 -82.5218169 40.0733039
7926895263 -82.5226038 40.0743615
198530899 -82.5269852 40.0714076
3894630228 -82.5256032 40.0715138
198378321 -82.520413 40.077093
11329562517 -82.5119581 40.0782163
198366297 -82.522614 40.070549
7128709830 -82.5189489 40.0681227
5803664455 -82.5201591 40.068109
6829774065 -82.5161704 40.0677381
7234296665 -82.5219666 40.068205
12075173711 -82.516653 40.0689585
7234296669 -82.5251484 40.0681512
7234367431 -82.5273969 40.0684524
7234367424 -82.5306929 40.0685882
8137815366 -82.5173147 40.0727447
7037812809 -82.5218101 40.0680955
9365640220 -82.5189324 40.0717867
368154755 -82.5207149 40.0728414
7234367528 -82.523593 40.0669797
198569946 -82.5274031 40.0683866
198521214 -82.5241669 40.07031
198569937 -82.5207229 40.0679912
8137821018 -82.519121 40.0683156
198521204 -82.522638 40.0704947
7234374851 -82.5185207 40.0680418
198398651 -82.529152 40.0684556
9365640185 -82.5187801 40.0723894
3894647917 -82.5237113 40.0698899
8133088561 -82.5219112 40.0680125
3894630230 -82.5255405 40.0715606
3894630213 -82.5230779 40.0709114
11329562482 -82.5158887 40.0771047
9365640183 -82.5177889 40.0725076
5546400204 -82.5183334 40.0710752
198356080 -82.51908 40.076957
11983514069 -82.5187223 40.0680259
7234367507 -82.5218155 40.0680073
3894630218 -82.5244995 40.0710427
11329447565 -82.518682 40.068348
198551729 -82.5117403 40.0686672
198356014 -82.520691 40.077492
198398653 -82.529122 40.068805
198588860 -82.516046 40.0716983
8137727124 -82.519271 40.0707732
11329762269 -82.5179197 40.0754107
7200521424 -82.5281467 40.0702373
5803662948 -82.5244152 40.07074
8133088578 -82.5258253 40.0668211
8257601711 -82.5273717 40.0700439
3894645105 -82.5251358 40.0713537
198366303 -82.5229838 40.0715276
198532396 -82.5142577 40.0745337
1826669185 -82.5374823 40.1155698
3894636162 -82.5258093 40.0738687
198551737 -82.5200545 40.0691824
3894630226 -82.5256163 40.0714472
8137727125 -82.5191633 40.0707018
198569947 -82.528373 40.068426
198378319 -82.520548 40.077089
5546400174 -82.5236029 40.0707873
4256589587 -82.5247024 40.0709231
7200521410 -82.5284419 40.070539
450619137 -82.516674 40.086289
6956911704 -82.520176 40.0733079
7234391443 -82.5191371 40.0677447
3894654175 -82.5235967 40.0683011
4256592594 -82.5236837 40.07157
8341488154 -82.5283737 40.0680049
5803662952 -82.5200563 40.0677985
11329562486 -82.5207573 40.0792163
5546400178 -82.5233124 40.070626
7128709828 -82.5186007 40.0680997
450619139 -82.51131 40.085926
8257601704 -82.5271667 40.0703851
4937605766 -82.5251505 40.0680938
7234296666 -82.5217979 40.0681946
3894630227 -82.5256169 40.0714813
11331370025 -82.5186148 40.0772497
7234367419 -82.5251976 40.068344
4937605773 -82.5168438 40.0679235
11329447559 -82.5186176 40.068463
198553554 -82.5303785 40.0725944
198269593 -82.5183342 40.071818
4256589584 -82.5245581 40.0707801
7037812807 -82.5201013 40.0687432
3894654167 -82.5246737 40.0691599
8133088567 -82.5243631 40.0681474
198356020 -82.520185 40.077524
11331352913 -82.5099431 40.0798253
7934217532 -82.5264378 40.0725185
8307344135 -82.5246261 40.0701311
3894630237 -82.5254057 40.0713776
4249163574 -82.518365 40.2543327
8341641108 -82.521415 40.0742846
4256592589 -82.5248746 40.0710705
7126311502 -82.5190756 40.0681261
6956911710 -82.5198664 40.0732838
5546400170 -82.524088 40.0709386
9365636013 -82.5181402 40.0744109
11329265971 -82.5181337 40.0681329
3894630220 -82.5254953 40.0713611
8341641109 -82.5212562 40.0742845
11329468174 -82.5185215 40.0683375
9365640240 -82.5190653 40.0720357
7234367537 -82.5234568 40.0682928
5546400205 -82.5181074 40.0716348
198356017 -82.520421 40.077535
6956911696 -82.5195077 40.0719526
7934217537 -82.5271591 40.0721849
6829774070 -82.5161619 40.0682023
3894630233 -82.525352 40.0715025
9365640282 -82.5183988 40.071729
10313376778 -82.5248674 40.0731339
8137815355 -82.5177616 40.0725719
8040850749 -82.5231757 40.0722917
3894644542 -82.5267639 40.0718463
11983514071 -82.5179934 40.0680598
7234374846 -82.5233845 40.0682885
198356025 -82.518954 40.077307
198530918 -82.528203 40.0713108
450619664 -82.520569 40.086523
8137815361 -82.5170824 40.0723252
7035916877 -82.5265121 40.0744461
7234367533 -82.5234854 40.0679924
7234367538 -82.5223821 40.069313
11329265990 -82.5185296 40.0685527
198553604 -82.528066 40.075154
8133088568 -82.5251227 40.0682827
7234367432 -82.5291443 40.0685323
11331370033 -82.5117696 40.079986
3894630222 -82.5254546 40.071569
153977539 -82.5196037 40.0681192
9800440124 -82.5190099 40.0681522
198562330 -82.5252432 40.067008
6829774059 -82.5169656 40.0694209
198558162 7234367521 10.544161045847199  West Broadway
7234296665 7234367504 11.165016295660045 
7234367533 7933475788 43.59226991743559 
450619137 450619139 458.1125097233901 
198356014 198356017 23.502258254823147 
6956911696 8137815379 174.14494256057546 
7934217537 9047700615 80.94334363727893 
3894630238 3894630237 3.957238106742247  Herrick Hall
5546400187 5546400188 6.011777880786801 
6829774070 6829774069 5.681603069635969  Granville Inn
3894630215 3894630214 25.56229713962723 
6829774058 6829774059 31.636124854437334 
6829774080 6829774077 34.86420666051917 
8133088561 198569938 9.840935277657723  South Mulberry Street
198625971 8257601704 50.684593107215655  Thresher Street
7037812807 198592631 16.10995785815989  North Main Street
10313376798 10313376797 3.6188205719159545 
8133088575 7234367454 228.7120687353183 
198356014 198378313 46.90373047038931 
7234296665 3894654170 6.09372214717474 
11329562491 5999570837 312.90643438608464  Denison University
7234374846 7234367537 6.170929107020416 
5546400206 5546400205 28.463674902795848 
198356020 198356017 20.16518874665729 
2305177560 198625971 31.784904242812388  Thresher Street
8137815388 8137815385 28.204432166135255 
11329447557 11329265996 3.6353162433687496 
8137727124 8137727125 12.125158159843382 
11329468184 5803664456 90.94922365100489  Linden Place
3894630231 3894630222 3.720489097345632  Herrick Hall
11329468215 11329468223 18.930348914269867 
11329562521 11331352913 177.3783070736968 
198262337 198348039 79.68309859665678  Sunset Hill Road
11331370037 450619664 205.76346735539582 
198592631 5803664455 54.58273162880294  North Main Street
198269593 9365640184 87.51920555756195  East Loop
9365640192 9365640185 33.10797081323403 
3894635412 3894647917 41.1459870512539 
7234367520 198558160 39.12371197985787  East Broadway
9047436998 198569937 67.60868591725317 
9365640221 198409954 97.5673005303755  East Loop
198512572 7234391439 8.34724127983883  East Broadway
7019363083 12075173711 207.14759950107208  ['North Pearl Street', 'East Broadway']
198417650 198517884 91.0150496355524  North Street
198279134 198530918 2288.744495853345  Burg Street
11331352908 11329562520 30.11766822316186 
7234296667 5506729666 65.14037101862417  Cherry Street
11331352908 11329562520 150.28284606584782 
3894630224 3894630221 3.745631888863761 
3894654171 3894654168 80.97669906717506 
7234296667 7234367533 6.159973384648736 
7234367430 5506729668 8.717022064441853 
3894630231 3894630230 3.742996913983358 
7234367543 7234367544 32.55551380169378 
198366297 198521204 6.373915519222285  West Loop Road
198417650 198417647 11.534888861962905 
8137727124 8137726013 17.885107315487218 
8317381120 8317381122 54.82447168284484 
